geoid,id.cedar,code.cedar,name,drg.old,seed.order.old,drg,seed.order,fam.rate,mhi,attainment.rate,mgmt.rate,enroll,frl.rate,non.english.rate
95000US0900090,003,3,Ashford School District,e,1,e,1,0.330097087,78313,0.24,0.394736842,476,0.229,0.027310924
95000US0900390,013,13,Bozrah School District,e,1,e,1,0.288888889,78625,0.269,0.463414634,234,0.184,0
95000US0900570,019,19,Brooklyn School District,e,1,e,1,0.376383764,78607,0.192,0.194915254,947,0.23,0.014783527
95000US0900630,021,21,Canaan School District,e,1,e,1,0.352941176,61667,0.337,0.294117647,86,0.093,0
95000US0900720,024,24,Chaplin School District,e,1,e,1,0.393939394,47500,0.136,0.09375,187,0.267,0
95000US0900780,026,26,Chester School District,e,1,e,1,0.155172414,98875,0.613,0.557142857,275,0.105,0
95000US0900870,029,29,Colebrook School District,e,1,e,1,0.180952381,82500,0.339,0.5,112,0.143,0
97000US0900960,032,32,Coventry School District,e,1,e,1,0.227467811,89368,0.299,0.377083333,1822,0.171,0
95000US0901080,036,36,Deep River School District,e,1,e,1,0.246376812,70938,0.294,0.406976744,351,0.151,0.05982906
97000US0901200,041,41,East Haddam School District,e,1,e,1,0.157746479,83988,0.298,0.510344828,1335,0.12,0.0082397
95000US0901380,039,39,Eastford School District,e,1,e,1,0.339285714,92083,0.305,0.348837209,178,0.096,0
95000US0901590,053,53,Franklin School District,e,1,e,1,0.211267606,88452,0.18,0.294117647,222,0.131,0
95000US0901890,063,63,Hampton School District,e,1,e,1,0.266666667,89688,0.527,0.5,139,0.187,0
95000US0901950,065,65,Hartland School District,e,1,e,1,0.073529412,94375,0.422,0.454545455,221,0.027,0
97000US0902130,071,71,Lebanon School District,e,1,e,1,0.531746032,82050,0.308,0.333333333,1403,0.122,0.00427655
95000US0902190,073,73,Lisbon School District,e,1,e,1,0.181818182,91750,0.402,0.54248366,534,0.193,0.011235955
97000US0902220,074,74,Litchfield School District,e,1,e,1,0.183391003,115632,0.489,0.492805755,1169,0.094,0.007698888
95000US0902940,098,98,Norfolk School District,e,1,e,1,0.187096774,102813,0.449,0.53125,134,0.075,0
97000US0902970,099,99,North Branford School District,e,1,e,1,0.20049505,93125,0.306,0.421052632,2286,0.136,0.028433946
97000US0903060,102,102,North Stonington School District,e,1,e,1,0.195652174,94070,0.349,0.497142857,796,0.171,0
97000US0903390,113,113,Portland School District,e,1,e,1,0.23381295,106544,0.45,0.551020408,1404,0.136,0.024216524
95000US0903420,114,114,Preston School District,e,1,e,1,0.363636364,90250,0.183,0.316666667,430,0.156,0.030232558
96000US0903600,201,201,Regional High School District 01,e,1,e,1,0.317757009,80333,0.476,0.442028986,502,0.199,0
97000US0903515,206,206,Regional School District 06,e,1,e,1,0.18125,89094,0.252,0.394736842,1042,0.121,0.025911708
97000US0903538,216,216,Regional School District 16,e,1,e,1,0.267175573,100184,0.349,0.435064935,2536,0.124,0.031545741
95000US0903930,122,122,Salisbury School District,e,1,e,1,0.633802817,37917,0,0,310,0.103,0
95000US0903960,123,123,Scotland School District,e,1,e,1,0.073170732,73281,0.325,0.388888889,143,0.119,0
97000US0904500,140,140,Thomaston School District,e,1,e,1,0.186206897,79755,0.258,0.31512605,1121,0.153,0.028545941
97000US0904980,154,154,Westbrook School District,e,1,e,1,0.304147465,71950,0.355,0.418604651,946,0.107,0.045454545
95000US0905100,160,160,Willington School District,e,1,e,1,0.136363636,91625,0.334,0.442307692,511,0.182,0.017612524
95000US0905370,169,169,Woodstock School District,e,1,e,1,0.310580205,86667,0.379,0.567460317,925,0.103,0.020540541
97000US0900210,007,7,Berlin School District,d,2,d,2,0.239477504,101397,0.49,0.503389831,3116,0.088,0.074133504
97000US0900270,009,9,Bethel School District,d,2,d,2,0.207933884,87261,0.415,0.411417323,2938,0.139,0.081688223
97000US0900420,014,14,Branford School District,d,2,d,2,0.302197802,81509,0.451,0.50249584,3363,0.188,0.086827238
97000US0900810,027,27,Clinton School District,d,2,d,2,0.166666667,84679,0.459,0.472160356,2029,0.136,0.029571217
97000US0900840,028,28,Colchester School District,d,2,d,2,0.262166405,101020,0.455,0.563356164,3069,0.114,0.018572825
97000US0900990,033,33,Cromwell School District,d,2,d,2,0.211488251,106384,0.446,0.534482759,2016,0.147,0.082837302
97000US0901170,040,40,East Granby School District,d,2,d,2,0.029585799,113281,0.436,0.50887574,889,0.035,0.044994376
97000US0901230,042,42,East Hampton School District,d,2,d,2,0.233333333,96132,0.429,0.575342466,1958,0.114,0.024004086
97000US0901320,045,45,East Lyme School District,d,2,d,2,0.206779661,121010,0.571,0.649910233,3017,0.099,0.052701359
97000US0902160,072,72,Ledyard School District,d,2,d,2,0.159851301,90385,0.364,0.439393939,2612,0.128,0.017993874
97000US0902520,084,84,Milford School District,d,2,d,2,0.228387097,95536,0.386,0.434782609,6958,0.156,0.06639839
97000US0902850,096,96,New Milford School District,d,2,d,2,0.193908629,102813,0.383,0.465277778,4744,0.157,0.065556492
97000US0902880,094,94,Newington School District,d,2,d,2,0.257109005,80904,0.365,0.429326288,4416,0.169,0.147871377
97000US0903030,101,101,North Haven School District,d,2,d,2,0.204633205,101959,0.415,0.452054795,3576,0.088,0.0598434
