id.cedar,name, mhi.06 ,attainment.rate.06,mgmt.rate.06,family.rate.06, enroll.06 ,frl.rate.06,non.english.rate.06,drg.old,seed.order.old,drg,seed.order,fit_06.cluster
035,Darien School District," $192,581 ",81.49%,62.75%,8.31%," 4,367 ",1.57%,1.97%,a,8,a,8,6
046,Easton School District," $163,072 ",71.33%,68.05%,9.26%," 1,137 ",0.18%,1.58%,a,8,a,8,6
090,New Canaan School District," $200,001 ",80.38%,64.99%,7.01%," 4,081 ",0.00%,2.84%,a,8,a,8,6
117,Redding School District," $110,376 ",71.22%,63.21%,13.33%," 1,298 ",0.78%,1.62%,b,6,a,8,2
118,Ridgefield School District," $139,772 ",74.52%,71.81%,8.32%," 5,560 ",1.20%,1.83%,a,8,a,8,6
157,Weston School District," $186,915 ",80.67%,72.04%,7.42%," 2,533 ",1.17%,0.83%,a,8,a,8,6
158,Westport School District," $176,813 ",79.26%,68.75%,12.55%," 5,280 ",1.74%,2.90%,a,8,a,8,6
161,Wilton School District," $169,201 ",79.83%,69.33%,9.33%," 4,312 ",0.47%,2.30%,a,8,a,8,6
004,Avon School District," $116,616 ",73.36%,69.13%,10.39%," 3,310 ",1.57%,3.08%,b,6,b,6,2
018,Brookfield School District," $94,889 ",53.17%,58.21%,14.51%," 3,110 ",2.84%,1.67%,b,6,b,6,5
025,Cheshire School District," $94,840 ",63.24%,63.46%,11.53%," 5,179 ",3.03%,4.04%,b,6,b,6,2
051,Fairfield School District," $105,623 ",63.40%,57.56%,12.11%," 9,024 ",4.68%,5.78%,c,4,b,6,2
052,Farmington School District," $89,082 ",59.78%,60.02%,13.24%," 4,360 ",5.51%,7.20%,b,6,b,6,2
054,Glastonbury School District," $104,475 ",65.65%,65.84%,13.22%," 6,628 ",3.41%,5.91%,b,6,b,6,2
056,Granby School District," $92,696 ",57.28%,65.44%,13.07%," 2,225 ",1.87%,1.66%,b,6,b,6,2
057,Greenwich School District," $119,604 ",65.04%,60.22%,16.55%," 9,100 ",7.79%,16.45%,b,6,b,6,2
