"id.cedar","name","mhi.06","attainment.rate.06","mgmt.rate.06","family.rate.06","enroll.06","frl.rate.06","non.english.rate.06","drg.old","seed.order.old","drg","seed.order","fit_06.cluster"
"003","Ashford School District",57232,0.308450704,0.312169312,0.196721311,577,0.106086957,0.012131716,"e",1,"e",1,9
"036","Deep River School District",63214,0.340206186,0.353383459,0.354166667,375,0.084931507,0.045333333,"e",1,"e",1,9
"041","East Haddam School District",68393,0.296732026,0.411134904,0.14556962,1420,0.078389831,0.009859155,"e",1,"e",1,9
"071","Lebanon School District",66652,0.267657993,0.42962963,0.152671756,1522,0.098509397,0.007884363,"e",1,"e",1,9
"099","North Branford School District",72021,0.257475083,0.348645465,0.17037037,2525,0.086991221,0.019009901,"e",1,"e",1,9
"113","Portland School District",68802,0.383783784,0.409978308,0.26875,1426,0.062059238,0.004207574,"e",1,"e",1,9
"114","Preston School District",66307,0.186096257,0.399193548,0.160493827,491,0.095785441,0.018329939,"e",1,"e",1,9
"201","Regional School District 01",56591,0.293641618,0.445026178,0.333333333,613,0.025210084,0.01141925,"e",1,"e",1,9
"140","Thomaston School District",62208,0.214074074,0.405867971,0.201438849,1300,0.116084977,0.020769231,"e",1,"e",1,9
"154","Westbrook School District",75568,0.318627451,0.353503185,0.252427184,1025,0.094918504,0.011707317,"e",1,"e",1,9
"160","Willington School District",75258,0.306666667,0.391752577,0.1875,580,0.071906355,0.029310345,"e",1,"e",1,9
"007","Berlin School District",81188,0.386454183,0.42115203,0.141993958,3352,0.0367713,0.06473747,"d",2,"d",2,4
"009","Bethel School District",79246,0.419856115,0.495422177,0.161490683,3258,0,0.076734193,"d",2,"d",2,5
"014","Branford School District",71841,0.387458007,0.410166521,0.254950495,3608,0.116766467,0.049334812,"d",2,"d",2,4
"027","Clinton School District",70776,0.359036145,0.457374831,0.185950413,2167,0.069788797,0.023073373,"d",2,"d",2,4
"028","Colchester School District",77551,0.334087237,0.448521916,0.156549521,3164,0.053514883,0.016434893,"d",2,"d",2,4
"033","Cromwell School District",69395,0.353689567,0.422750424,0.22513089,1925,0.091440723,0.06025974,"d",2,"d",2,4
"042","East Hampton School District",70400,0.325726141,0.441041348,0.24,2116,0.069064748,0.013705104,"d",2,"d",2,9
